shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10866849:1,35.28464127,-120.66087341,4,300.47414427
10866849:1,35.28583908,-120.65886688,5,526.10642104
10866849:1,35.28583908,-120.65886688,6,526.10642104
10866849:1,35.28593445,-120.65871429,7,543.54976618
10866849:1,35.28671646,-120.65938568,8,649.73296031
10866849:1,35.28776550,-120.65933228,9,766.48175393
10866849:1,35.28776550,-120.65846252,10,845.42389929
10866849:1,35.28773880,-120.65821838,11,867.78114746
10866849:1,35.28675079,-120.65731049,12,1005.11323415
10866849:1,35.28686142,-120.65714264,13,1024.69410170
10866849:1,35.28686142,-120.65714264,14,1024.69410170
10866849:1,35.28921127,-120.65319061,15,1468.47296985
10866849:1,35.28942871,-120.65280151,16,1511.27206016
10866849:1,35.28942871,-120.65280151,17,1511.27206016
10866849:1,35.28960037,-120.65251923,18,1543.22176447
10866849:1,35.29019165,-120.65303802,19,1624.09125888
10866849:1,35.29034042,-120.65310669,20,1641.76903827
10866849:1,35.29127121,-120.65310669,21,1745.26773403
10866849:1,35.29127121,-120.65310669,22,1745.26773403
10866849:1,35.29236984,-120.65309906,23,1867.43209145
10866849:1,35.29238129,-120.65325928,24,1882.02881189
10866849:1,35.29203033,-120.65545654,25,2085.23303008
10866849:1,35.29193115,-120.65564728,26,2105.75859162
10866849:1,35.29175949,-120.65648651,27,2184.28230219
10866849:1,35.29133987,-120.65751648,28,2288.75980707
10866849:1,35.29133987,-120.65766144,29,2301.91625038
10866849:1,35.29090118,-120.65852356,30,2394.12256154
10866849:1,35.29088974,-120.65879822,31,2419.08315487
10866849:1,35.29101944,-120.65923309,32,2461.10499990
10866849:1,35.29096985,-120.66029358,33,2557.51300978
10866849:1,35.29130936,-120.66056061,34,2602.37442145
10866849:1,35.29130936,-120.66056061,35,2602.37442145
10866849:1,35.29499817,-120.66381836,36,3108.00708642
10866849:1,35.29636002,-120.66491699,37,3289.31511753
10866849:1,35.29711914,-120.66525269,38,3379.05549154
10866849:1,35.29999924,-120.66612244,39,3708.89123196
10866849:1,35.30134964,-120.66638184,40,3860.88319965
10866849:1,35.30171204,-120.66638947,41,3901.18577044
10866849:1,35.30173492,-120.66637421,42,3904.08313196
10866849:1,35.30195236,-120.66510010,43,4022.20721919
10866849:1,35.30208969,-120.66454315,44,4075.00544344
10866849:1,35.30216217,-120.66413879,45,4112.57472485
10866849:1,35.30224991,-120.66361237,46,4161.33298259
10866849:1,35.30229187,-120.66339874,47,4181.27241678
10866849:1,35.30234909,-120.66304779,48,4213.74988221
10866849:1,35.30234909,-120.66304779,49,4213.74988221
